,ts_code,name,concept,COL_CONCEPT_COUNT
98,000059.SZ,华锦股份,"油气改革, 石墨电极, 混改, 军工混改, 央企改革, 军工研究所, 破净股, 军工, 石油化工, 煤化工, 化肥, 油品升级, ",12.0
99,300418.SZ,昆仑万维,"教育, 回购, 直播/短视频, 互联网金融, 人工智能, 区块链, 电竞, VR&AR, 独角兽, 游戏, 手游, 动漫, ",12.0
100,300213.SZ,佳讯飞鸿,"军工, 军民融合, 无人机, 物联网, 定增破发, 人工智能, 工业互联网, 股权转让, 高铁轨交, 国资入股, 智慧安防, 独角兽, ",12.0
101,002236.SZ,大华股份,"白马股, MSCI, 无人机, 无人驾驶, 智慧物流, 智能制造, 智慧城市, 国产芯片, 智慧安防, 独角兽, 机器人, 人脸识别, ",12.0
102,002681.SZ,奋达科技,"华为产业链, 回购, 定增破发, 小家电, 工业自动化, 家电, 智能制造, 智能音箱, VR&AR, 苹果产业链, 国资入股, 独角兽, ",12.0
103,002241.SZ,歌尔股份,"白马股, MSCI, 回购, 小米概念股, 智能制造, 工业互联网, 3D感应, 智能音箱, VR&AR, 苹果产业链, 独角兽, 机器人, ",12.0
104,600804.SH,鹏博士,"5G, 安邦系, 光通信, 新进指数成份股, 教育, 回购, 物联网, 谷歌概念股, 大数据, 云计算, 智慧城市, 智慧安防, ",12.0
105,000936.SZ,华西股份,"涤纶, 业绩预增, 参股券商, 宁德时代概念股, 人工智能, 半导体, 共享经济, 迈瑞医疗概念股, 独角兽, 知识产权, 科创板概念股, 创投, ",12.0
106,002341.SZ,新纶科技,"OLED, 华为产业链, 社保重仓, 业绩预增, 宁德时代概念股, 锂电池, 无线充电, 新能源汽车, 石墨烯, 半导体, 股权转让, 苹果产业链, ",12.0
107,300431.SZ,暴风集团,"家电, 创业板人气股, 直播/短视频, 大数据, 云计算, 人工智能, 区块链, 足球, VR&AR, 黑色家电, 手势识别, 体育产业, ",12.0
108,000997.SZ,新大陆,"MSCI, 国家队重仓, 物联网, 数字中国, 互联网金融, 移动支付, 大数据, 药品信息化追溯, 无人商店, 智慧城市, 彩票, 电子发票, ",12.0
109,601888.SH,中国国旅,"MSCI, 中字头, 人民币升值受益, 阿里巴巴概念股, 大消费, 央企改革, 旅游, 中韩自贸区, 海南自由贸易港, 自贸区, 自由贸易港, 股权转让, ",12.0
110,600227.SH,圣济堂,"民营医院, 甲醇, 业绩预增, 保健品, 煤化工, 食品, 化肥, 医药, 中药, 化学药, 医疗器械, 创投, ",12.0
111,002010.SZ,传化智联,"MSCI, 新能源整车, 供应链金融, 染料, 智慧物流, 智能制造, 互联网金融, 新能源汽车, 快递物流, 移动支付, 区块链, 工业互联网, ",12.0
112,002375.SZ,亚厦股份,"超级高铁, 国家队重仓, 回购, 装配式建筑, 特色小镇, 雄安-建材, 3D打印, 智能制造, 雄安新区, VR&AR, 高铁轨交, 装修装饰, ",12.0
113,300079.SZ,数码科技,"5G, 业绩预增, 谷歌概念股, 网络安全, 互联网金融, 移动支付, 区块链, 彩票, VR&AR, 广电, 影视, 知识产权, ",12.0
114,600685.SH,中船防务,"南北船合并, 海工装备, 混改, 军工混改, 央企改革, 军工研究所, 航母, 军工, 债转股-AMC, 工业互联网, 复牌股, 资产重组, ",12.0
115,300075.SZ,数字政通,"雄安-智慧城市, 定增破发, 海南自由贸易港, 数字中国, 雄安新区, 雄安-工程基建, 京津冀, 大数据, 自贸区, 智慧城市, 国产软件, 自由贸易港, ",12.0
116,002011.SZ,盾安环境,"核电, 宁德时代概念股, 雄安-公共服务, 白色家电, 家电, 智能制造, 冷链, 雄安新区, 地热, 资产重组, 机器人, 创投, ",12.0
117,300070.SZ,碧水源,"MSCI, 金改, 乡村振兴, 雄安-园林环保, 小家电, 家电, 环保, 雄安新区, 京津冀, 污水处理, 股权转让, 国资入股, ",12.0
118,002036.SZ,联创电子,"OLED, 特斯拉, 华为产业链, 回购, 无人驾驶, 无线充电, 3D感应, 3D玻璃, VR&AR, 国产芯片, 虹膜识别, 创投, ",12.0
119,600487.SH,亨通光电,"5G, 光通信, 白马股, MSCI, 海工装备, 混改, 太赫兹, 量子通信, 新能源汽车, 大数据, 智慧城市, 充电桩, ",12.0
120,601928.SH,凤凰传媒,"金改, 教育, 社保重仓, 百度概念股, 智能制造, 云计算, VR&AR, 独角兽, 机器人, 蚂蚁金服概念股, 游戏, 手游, ",12.0
121,000969.SZ,安泰科技,"碳纤维, 央企改革, 有色金属, 业绩预增, 有色-钼, 稀土磁材, 有色-钨, 小米概念股, 燃料电池, 3D打印, 智能制造, 无线充电, ",12.0
122,300027.SZ,华谊兄弟,"主题公园, 阿里巴巴概念股, 新进指数成份股, 大消费, 特色小镇, 电竞, 腾讯概念股, 独角兽, 游戏, 手游, 影视, 动漫, ",12.0
123,300144.SZ,宋城演艺,"主题公园, MSCI, 大消费, 社保重仓, 旅游, 海南自由贸易港, 创业板人气股, 直播/短视频, 自贸区, 自由贸易港, VR&AR, 动漫, ",12.0
124,600728.SH,佳都科技,"空铁WiFi, 移动支付, 大数据, 云计算, 人工智能, 无人商店, 智慧城市, 高铁轨交, 智慧安防, 独角兽, 人脸识别, ",11.0
125,002310.SZ,东方园林,"社保重仓, 旅游, 园林, 雄安-园林环保, 特色小镇, PPP, 环保, 雄安新区, 污水处理, 股权转让, 国资入股, ",11.0
