code,name,past_p_change,past_positive
300387,富邦股份,-7.83156282271,★
600508,上海能源,-7.82082522694,★
000544,中原环保,-7.81675962944,★
600609,金杯汽车,-7.81212157198,★
600020,中原高速,-7.81025193359,★
300294,博雅生物,-7.79662732145,
603869,北部湾旅,-7.79628642284,★
300575,中旗股份,-7.78372425267,★
600168,武汉控股,-7.7711776831,★
000918,嘉凯城,-7.76871091701,★
002474,榕基软件,-7.76569651688,★
600763,通策医疗,-7.76240263805,★
300657,弘信电子,-7.76060550524,
000533,万 家 乐,-7.75561130018,★
300660,江苏雷利,-7.73857182455,★
000070,特发信息,-7.73645486727,★
600367,红星发展,-7.7306835093,★
002555,三七互娱,-7.72520988239,
002048,宁波华翔,-7.71865591888,★
600557,康缘药业,-7.71384932025,★
600082,海泰发展,-7.70256735834,★
600732,ST新梅,-7.68586652751,★
300596,利安隆,-7.68368766433,
600757,长江传媒,-7.6817280394,★
000547,航天发展,-7.6655136897,★
300139,晓程科技,-7.66517778095,★
002429,兆驰股份,-7.66471778963,★
002035,华帝股份,-7.66132169817,★
002881,美格智能,-7.65606261252,★
300264,佳创视讯,-7.65140763278,★
002487,大金重工,-7.64636917955,★
601007,金陵饭店,-7.61456997959,★
600425,*ST青松,-7.60890723748,★
600984,建设机械,-7.60607101003,
600300,维维股份,-7.58917363749,★
300190,维尔利,-7.58691963112,★
603339,四方冷链,-7.58639700477,★
000027,深圳能源,-7.58043932087,★
600122,宏图高科,-7.57639957528,★
600996,贵广网络,-7.57555468922,★
002340,格林美,-7.57262633169,★
002154,报 喜 鸟,-7.57072568793,★
600368,五洲交通,-7.56621818552,★
600375,华菱星马,-7.56434256837,★
600848,上海临港,-7.55078130527,★
002406,远东传动,-7.54301159674,★
600729,重庆百货,-7.54267468714,
002009,天奇股份,-7.54239254963,★
002091,江苏国泰,-7.54146415583,★
002482,广田集团,-7.5333447576,★
000927,一汽夏利,-7.52111710124,★
600575,皖江物流,-7.51188910525,
601666,平煤股份,-7.50969152614,★
600579,天华院,-7.50850260448,★
000903,云内动力,-7.50689713433,★
600369,西南证券,-7.50606802297,★
002101,广东鸿图,-7.50070224518,
600886,国投电力,-7.49252828743,★
600249,两面针,-7.4875972984,★
002618,丹邦科技,-7.48630678252,★
600750,江中药业,-7.48580928126,★
601218,吉鑫科技,-7.4684598432,★
600961,株冶集团,-7.46558116008,★
000692,惠天热电,-7.46464149127,★
300193,佳士科技,-7.46018781876,
603996,中新科技,-7.45936847986,★
000026,飞亚达Ａ,-7.4554046987,★
600235,民丰特纸,-7.4543122157,★
002060,粤 水 电,-7.44872164737,★
300639,凯普生物,-7.42585178904,★
600866,星湖科技,-7.4243658697,
002788,鹭燕医药,-7.42321445712,★
601965,中国汽研,-7.41199836694,★
002201,九鼎新材,-7.41134594154,★
000829,天音控股,-7.40479730519,★
300231,银信科技,-7.40420101896,★
002123,梦网集团,-7.40275199242,
600036,招商银行,-7.40040953737,★
000813,德展健康,-7.39902941516,★
000050,深天马Ａ,-7.39810466238,★
600584,长电科技,-7.39108391429,★
002781,奇信股份,-7.3909309661,★
600724,宁波富达,-7.39084807991,★
600171,上海贝岭,-7.36747785542,★
002155,湖南黄金,-7.36659579375,★
600681,百川能源,-7.36515912273,
002088,鲁阳节能,-7.35539448308,★
300158,振东制药,-7.35335569127,★
300147,香雪制药,-7.3471550701,
002527,新时达,-7.34653006325,★
000952,广济药业,-7.33832089158,★
000541,佛山照明,-7.3346219778,★
002436,兴森科技,-7.32757737549,★
300395,菲利华,-7.31860430988,
002194,武汉凡谷,-7.31302984099,
